t,x_raw,a,b,y,x_hat,omega,F,S,C,tau_R,U,IC,kappa,d_kappa_d_omega,d_kappa_d_C,d_kappa_d_tauR,regime,near_wall,OOR,tags
idx:0,0.4502051566035191,0.3600580727865211,0.5542978409658479,0.16263293333403459,0.16263293333403459,0.0,1.0,-9.999999889225291e-09,3.816738453273696e-05,1,1.908369226636848e-05,0.9999809264896353,-1.907369226638735e-05,-2.999999989998,-0.5,9.54184613318424e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:1,0.4623438736665072,0.3600580727865211,0.5542978409658479,0.18453220149974983,0.18453220149974983,0.021899268165715247,0.9781007318342847,0.02214260624176443,3.816738453273696e-05,600,6.350646344881357e-08,0.9357303770772675,-0.06642790267954829,-3.0671687405324795,-0.0016638935108153079,1.0566799242731044e-10,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:2,0.4656987125291195,0.3600580727865211,0.5542978409658479,0.19058461342465752,0.19058461342465752,0.006052411924907686,0.9939475880750923,0.006070791949531488,3.816738453273696e-05,600,6.350646344881357e-08,0.9819523851045182,-0.01821245947684312,-3.0182677899012584,-0.0016638935108153079,1.0566799242731044e-10,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:3,0.4594128589883395,0.3600580727865211,0.5542978409658479,0.17924440410717746,0.17924440410717746,0.01134020931748006,0.98865979068252,0.01140498966712439,3.816738453273696e-05,1,1.908369226636848e-05,0.9663452828973091,-0.03423407292304488,-3.034410844009574,-0.5,9.54184613318424e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:4,0.4647504242823813,0.3600580727865211,0.5542978409658479,0.18887382154229002,0.18887382154229002,0.009629417435112558,0.9903705825648874,0.009676069975584739,3.816738453273696e-05,1,1.908369226636848e-05,0.9713705041364801,-0.029047313813481437,-3.0291691238761076,-0.5,9.54184613318424e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:5,0.4673569034413396,0.3600580727865211,0.5542978409658479,0.19357612951884035,0.19357612951884035,0.0047023079765503295,0.9952976920234496,0.004713388560826638,7.881974070779583e-05,1,3.9409870353897916e-05,0.9859204613382125,-0.01417959564732409,-3.014173562335624,-0.5,1.9704935176948958e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:6,0.4778225567299798,0.3600580727865211,0.5542978409658479,0.21245704969418164,0.21245704969418164,0.018880920175341293,0.9811190798246587,0.019061430429303628,0.0006719125412065772,600,1.1179909171490468e-06,0.9444189298444284,-0.05718542966371317,-3.0577327986952056,-0.0016638935108153079,1.8602178321947534e-09,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:7,0.4778319071328797,0.3600580727865211,0.5542978409658479,0.2124739186087053,0.2124739186087053,1.6868914523654466e-05,0.9999831310854763,1.6859056636728682e-05,0.00030469709952983954,600,5.06983526671946e-07,0.9999488971520208,-5.1104153774178975e-05,-3.000050597594929,-0.0016638935108153079,8.435666001197105e-10,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:8,0.4862764695515316,0.3600580727865211,0.5542978409658479,0.22770862059480265,0.22770862059480265,0.01523470198609736,0.9847652980139027,0.015351932175628694,0.000543244502197505,1,0.0002716222510987525,0.9547292953146652,-0.04632743908739251,-3.046411155930996,-0.5,0.00013581112554937624,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:9,0.4741831663437037,0.3600580727865211,0.5542978409658479,0.205891282849529,0.205891282849529,0.02181733774527364,0.9781826622547264,0.02205884494225176,0.00018747887136255596,1,9.373943568127798e-05,0.9358778672659419,-0.06627029470851532,-3.066911841250456,-0.5,4.686971784063899e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:10,0.4979665492293895,0.3600580727865211,0.5542978409658479,0.24879850912384377,0.24879850912384377,0.04290722627431476,0.9570927737256852,0.04385493953737503,0.0012017631136050384,1,0.0006008815568025192,0.8761957789489077,-0.13216572106554342,-3.1344923626070966,-0.5,0.0003004407784012596,Watch,0,0,regime:Watch;near_wall:0;oor:0
idx:11,0.4911009092666061,0.3600580727865211,0.5542978409658479,0.23641231625897494,0.23641231625897494,0.012386192864868834,0.9876138071351311,0.012463530990176046,0.0003869018574269245,1,0.00019345092871346224,0.9631134510039886,-0.03758406415007218,-3.037624593944222,-0.5,9.672546435673112e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:12,0.4986709602482885,0.3600580727865211,0.5542978409658479,0.25006932594259884,0.25006932594259884,0.013657009683623905,0.9863429903163761,0.01375111436899243,0.0007132761268061876,1,0.0003566380634030938,0.9592438113301196,-0.04161000144730235,-3.0415383079847724,-0.5,0.0001783190317015469,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:13,0.4964612472125423,0.3600580727865211,0.5542978409658479,0.24608281747650806,0.24608281747650806,0.003986508466090777,0.9960134915339092,0.003994465732480295,3.892860822397736e-05,1,1.946430411198868e-05,0.9880688656567637,-0.012002881581601866,-3.0120073828897853,-0.5,9.73215205599434e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
